,Names,Description
20,21. Air Quality, Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.
21,22. Air quality, Contains the responses of a gas multisensor device deployed on the field in an Italian city.
22,23. Airfoil Self-Noise," NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel."
23,24. Alcohol QCM Sensor Dataset," Five different QCM gas sensors are used, and five different gas measurements (1-octanol, 1-propanol, 2-butanol, 2-propanol and 1-isobutanol) are conducted in each of these sensors."
24,25. Algerian Forest Fires Dataset , The dataset includes 244 instances that regroup a data of two regions of Algeria.
25,26. Amazon Access Samples, Amazon's InfoSec is getting smarter about the way Access data is leveraged. This is an anonymized sample of access provisioned within the company.
26,27. Amazon Commerce reviews set, The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.
27,28. Amphibians, The dataset is a multilabel classification problem. The goal is to predict the presence of amphibians species near the water reservoirs based on features obtained from GIS systems and satellite images
28,29. Annealing, Steel annealing data
29,30. Anonymous Microsoft Web Data, Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.
30,31. Anticancer peptides, Peptides with experimental annotations on their anticancer action on breast and lung cancer cells.
31,32. Anuran Calls (MFCCs)," Acoustic features extracted from syllables of anuran (frogs) calls, including the family, the genus, and the species labels (multilabel)."
32,33. Apartment for rent classified, This is a dataset of classified for apartments for rent in USA.
33,34. Appliances energy prediction, Experimental data used to create regression models of appliances energy use in a low energy building.
34,35. APS Failure at Scania Trucks, The datasets' positive class consists of component failures for a specific component of the APS system. The negative class consists of trucks with failures for components not related to the APS.
35,36. Arcene, ARCENE's task is to distinguish cancer versus normal patterns from mass-spectrometric data. This is a two-class classification problem with continuous input variables. This dataset is one of 5 datasets of the NIPS 2003 feature selection challenge.
36,37. Arrhythmia, Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.
37,38. Artificial Characters, Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet
38,39. Audiology (Original), Nominal audiology dataset from Baylor
39,40. Audiology (Standardized), Standardized version of the original audiology database
40,41. Audit Data, Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms.
41,42. Australian Sign Language signs, This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples.
42,43. Australian Sign Language signs (High Quality), This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers
43,44. Autism Screening Adult, Autistic Spectrum Disorder Screening Data for Adult. This dataset is related to classification and predictive tasks.
44,45. Autistic Spectrum Disorder Screening Data for Adolescent , Autistic Spectrum Disorder Screening Data for Adolescent. This dataset is related to classification and predictive tasks.
45,46. Autistic Spectrum Disorder Screening Data for Children , Children screening data for autism suitable for classification and predictive tasks
46,47. Auto MPG," Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
47,48. Automobile, From 1985 Ward's Automotive Yearbook
48,49. AutoUniv," AutoUniv is an advanced data generator for classifications tasks. The aim is to reflect the nuances and heterogeneity of real data. Data can be generated in .csv, ARFF or C4.5 formats."
49,50. Average Localization Error (ALE) in sensor node localization process in WSNs, This data set can be used to test any regression-based machine learning algorithm. You can predict the ALE variable using four features.
50,51. Avila," The Avila data set has been extracted from 800 images of the 'Avila Bible', an XII century giant Latin copy of the Bible. The prediction task consists in associating each pattern to a copyist."
51,52. Bach Choral Harmony, The data set is composed of 60 chorales (5665 events) by J.S. Bach (1675-1750). Each event of each chorale is labelled using 1 among 101 chord labels and described through 14 features.
52,53. Bach Chorales, Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp
53,54. Badges," Badges labeled with a ""+"" or ""-"" as a function of a person's name"
54,55. Bag of Words, This data set contains five text collections in the form of bags-of-words.
55,56. Balance Scale, Balance scale weight & distance database
56,57. Balloons, Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment
57,58. Bank Marketing, The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
58,59. banknote authentication, Data were extracted from images that were taken for the evaluation of an authentication procedure for banknotes.
59,60. Bar Crawl, Detecting Heavy Drinking
60,61. Bar Crawl, Detecting Heavy Drinking
61,62. Basketball dataset, It's data collected from different volunteers that are done in a basketball practice
62,63. BAUM-1, BAUM-1 dataset contains 1184 multimodal facial video clips collected from 31 subjects. The 1184 video clips contain spontaneous facial expressions and speech of 13 emotional and mental states.
63,64. BAUM-2, A multilingual audio-visual affective face database consisting of 1047 video clips of 286 subjects.
64,65. Behavior of the urban traffic of the city of Sao Paulo in Brazil, The database was created with records of behavior of the urban traffic of the city of Sao Paulo in Brazil.
65,66. Beijing Multi-Site Air-Quality Data, This hourly data set considers 6 main air pollutants and 6 relevant meteorological variables at multiple sites in Beijing.
66,67. Beijing PM2.5 Data," This hourly data set contains the PM2.5 data of US Embassy in Beijing. Meanwhile, meteorological data from Beijing Capital International Airport are also included."
67,68. Bias correction of numerical prediction model temperature forecast," It contains fourteen numerical weather prediction (NWP)'s meteorological forecast data, two in-situ observations, and five geographical auxiliary variables over Seoul, South Korea in the summer."
68,69. Bike Sharing Dataset, This dataset contains the hourly and daily count of rental bikes between years 2011 and 2012 in Capital bikeshare system with the corresponding weather and seasonal information.
69,70. BitcoinHeistRansomwareAddressDataset, BitcoinHeist datasets contains address features on the heterogeneous Bitcoin network to identify ransomware payments.
70,71. BLE RSSI dataset for Indoor localization, This dataset contains RSSIs obtained on smartphones(Sony Xperia XA1). Signals were transmitted from BLE product called iTAG. Location column denotes the position of iTAG in building's entry.
71,72. BLE RSSI Dataset for Indoor localization and Navigation, This dataset contains RSSI readings gathered from an array of Bluetooth Low Energy (BLE) iBeacons in a real-world and operational indoor environment for localization and navigation purposes.
72,73. BlogFeedback, Instances in this dataset contain features extracted from blog posts. The task associated with the data is to predict how many comments the post will receive.
73,74. BLOGGER," In this paper, we look for to recognize the causes of users tend to cyber space in Kohkiloye and Boyer Ahmad Province in Iran"
74,75. Blood Transfusion Service Center, Data taken from the Blood Transfusion Service Center in Hsin-Chu City in Taiwan -- this is a classification problem.
75,76. Bone marrow transplant, children
76,77. Breast Cancer, Breast Cancer Data (Restricted Access)
77,78. Breast Cancer Coimbra, Clinical features were observed or measured for 64 patients with breast cancer and 52 healthy controls.
78,79. Breast Cancer Wisconsin (Diagnostic), Diagnostic Wisconsin Breast Cancer Database
79,80. Breast Cancer Wisconsin (Original), Original Wisconsin Breast Cancer Database
80,81. Breast Cancer Wisconsin (Prognostic), Prognostic Wisconsin Breast Cancer Database
81,82. Breast Tissue, Dataset with electrical impedance measurements of freshly excised tissue samples from the breast.
82,83. Breath Metabolomics," Breath analysis is a pivotal method for biological phenotyping. In a pilot study, 100 experiments with four subjects have been performed to study the reproducibility of this technique."
83,84. BuddyMove Data Set, User interest information extracted from user reviews published in holidayiq.com about various types of point of interests in South India
84,85. Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network, One of the primary challenges in identifying the risks of the Burst Header Packet (BHP) flood attacks in Optical Burst Switching networks (OBS) is the scarcity of reliable historical data.
85,86. Buzz in social media , This data-set contains examples of buzz events from two different social networks
86,87. Caesarian Section Classification Dataset, This dataset contains information about caesarian section results of 80 pregnant women with the most important characteristics of delivery problems in the medical field.
87,88. CalIt2 Building People Counts, This data comes from the main door of the CalIt2 building at UCI.
88,89. Car Evaluation," Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
89,90. Carbon Nanotubes, This dataset contains 10721 initial and calculated atomic coordinates of carbon nanotubes.
90,91. Cardiotocography, The dataset consists of measurements of fetal heart rate (FHR) and uterine contraction (UC) features on cardiotocograms classified by expert obstetricians.
91,92. Cargo 2000 Freight Tracking and Tracing," Sanitized and anonymized Cargo 2000 (C2K) airfreight tracking and tracing events, covering five months of business execution (3,942 process instances, 7,932 transport legs, 56,082 activities)."
92,93. Census Income," Predict whether income exceeds $50K/yr based on census data. Also known as ""Adult"" dataset."
93,94. Census-Income (KDD), This data set contains weighted census data extracted from the 1994 and 1995 current population surveys conducted by the U.S. Census Bureau.
94,95. Cervical cancer (Risk Factors)," This dataset focuses on the prediction of indicators/diagnosis of cervical cancer. The features cover demographic information, habits, and historic medical records."
95,96. Cervical Cancer Behavior Risk," The dataset contains 19 attributes regarding ca cervix behavior risk with class label is ca_cervix with 1 and 0 as values which means the respondent with and without ca cervix, respectively."
96,97. Challenger USA Space Shuttle O-Ring, Task
97,98. Character Font Images, Character images from scanned and computer generated fonts.
98,99. Character Trajectories," Multiple, labelled samples of pen tip trajectories recorded whilst writing individual characters. All samples are from the same writer, for the purposes of primitive extraction. Only characters with a single pen-down segment were considered."
99,100. Chemical Composition of Ceramic Samples, Classify ceramic samples based on their chemical composition from energy dispersive X-ray fluorescence
100,101. Chess (Domain Theories), 6 different domain theories for generating legal moves of chess
101,102. Chess (King-Rook vs. King), Chess Endgame Database for White King and Rook against Black King (KRK).
102,103. Chess (King-Rook vs. King-Knight), Knight Pin Chess End-Game Database Creator
103,104. Chess (King-Rook vs. King-Pawn), King+Rook versus King+Pawn on a7 (usually abbreviated KRKPA7).
104,105. chestnut – LARVIC," The research project presents this database, shows the images of chestnuts that will be processed to determine the presence or absence of defects"
105,106. chipseq, ChIP-seq experiments characterize protein modifications or binding at specific genomic locations in specific samples. The machine learning problem in these data is structured binary classification.
106,107. Chronic_Kidney_Disease, This dataset can be used to predict the chronic kidney disease and it can be collected from the hospital nearly 2 months of period.
107,108. clickstream data for online shopping, The dataset contains information on clickstream from online store offering clothing for pregnant women.
108,109. Climate Model Simulation Crashes," Given Latin hypercube samples of 18 climate model input parameter values, predict climate model simulation crashes and determine the parameter value combinations that cause the failures."
109,110. CLINC150, This is a intent classification (text classification) dataset with 150 in-domain intent classes. The main purpose of this dataset is to evaluate various classifiers on out-of-domain performance.
110,111. Cloud, Little Documentation
111,112. CMU Face Images," This data consists of 640 black and white face images of people taken with varying pose (straight, left, right, up), expression (neutral, happy, sad, angry), eyes (wearing sunglasses or not), and size"
112,113. CNAE-9, This is a data set containing 1080 documents of free text business descriptions of Brazilian companies categorized into a subset of 9 categories
113,114. CNNpred, CNN-based stock market prediction using a diverse set of variables
114,115. Codon usage, DNA codon usage frequencies of a large sample of diverse biological organisms from different taxa
115,116. Coil 1999 Competition Data, This data set is from the 1999 Computational Intelligence and Learning (COIL) competition. The data contains measurements of river chemical concentrations and algae densities.
116,117. Combined Cycle Power Plant," The dataset contains 9568 data points collected from a Combined Cycle Power Plant over 6 years (2006-2011), when the plant was set to work with full load."
117,118. Communities and Crime," Communities within the United States. The data combines socio-economic data from the 1990 US Census, law enforcement data from the 1990 US LEMAS survey, and crime data from the 1995 FBI UCR."
118,119. Communities and Crime Unnormalized," Communities in the US. Data combines socio-economic data from the '90 Census, law enforcement data from the 1990 Law Enforcement Management and Admin Stats survey, and crime data from the 1995 FBI UCR"
119,120. Computer Hardware," Relative CPU Performance Data, described in terms of its cycle time, memory size, etc."
120,121. Concrete Compressive Strength, Concrete is the most important material in civil engineering. The concrete compressive strength is a highly nonlinear function of age and ingredients.
121,122. Concrete Slump Test," Concrete is a highly complex material. The slump flow of concrete is not only determined by the water content, but that is also influenced by other concrete ingredients."
122,123. Condition Based Maintenance of Naval Propulsion Plants," Data have been generated from a sophisticated simulator of a Gas Turbines (GT), mounted on a Frigate characterized by a COmbined Diesel eLectric And Gas (CODLAG) propulsion plant type."
123,124. Condition monitoring of hydraulic systems, The data set addresses the condition assessment of a hydraulic test rig based on multi sensor data. Four fault types are superimposed with several severity grades impeding selective quantification.
124,125. Congressional Voting Records, 1984 United Stated Congressional Voting Records; Classify as Republican or Democrat
125,126. Connect-4, Contains connect-4 positions
126,127. Connectionist Bench (Nettalk Corpus)," The file ""nettalk.data"" contains a list of 20,008 English words, along with a phonetic transcription for each word. The task is to train a network to produce the proper phonemes"
127,"128. Connectionist Bench (Sonar, Mines vs. Rocks)", The task is to train a network to discriminate between sonar signals bounced off a metal cylinder and those bounced off a roughly cylindrical rock.
128,129. Connectionist Bench (Vowel Recognition - Deterding Data), Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios.
129,130. Container Crane Controller Data Set, A container crane has the function of transporting containers from one point to another point.
130,131. Contraceptive Method Choice, Dataset is a subset of the 1987 National Indonesia Contraceptive Prevalence Survey.
131,132. Corel Image Features," This dataset contains image features extracted from a Corel image collection. Four sets of features are available based on the color histogram, color histogram layout, color moments, and co-occurence"
132,133. Covertype, Forest CoverType dataset
133,134. COVID-19 Surveillance, Coronavirus Disease (COVID-19) Surveillance.
134,135. Credit Approval, This data concerns credit card applications; good mix of attributes
135,136. Crop mapping using fused optical-radar data set," Combining optical and PolSAR remote sensing images offers a complementary data set with a significant number of temporal, spectral, textural, and polarimetric features for cropland classification."
136,137. Crowdsourced Mapping," Crowdsourced data from OpenStreetMap is used to automate the classification of satellite images into different land cover classes (impervious, farm, forest, grass, orchard, water)."
137,138. Cryotherapy Dataset , This dataset contains information about wart treatment results of 90 patients using cryotherapy.
138,139. CSM (Conventional and Social Media Movies) Dataset 2014 and 2015," 12 features categorized as conventional and social media features. Both conventional features, collected from movies databases on Web as well as social media features(YouTube,Twitter)."
139,140. Cuff-Less Blood Pressure Estimation, This Data set provides preprocessed and cleaned vital signals which can be used in designing algorithms for cuff-less estimation of the blood pressure.
140,141. Cylinder Bands," Used in decision tree induction for mitigating process delays known as ""cylinder bands"" in rotogravure printing"
141,142. Daily and Sports Activities," The dataset comprises motion sensor data of 19 daily and sports activities each performed by 8 subjects in their own style for 5 minutes. Five Xsens MTx units are used on the torso, arms, and legs."
142,143. Daily Demand Forecasting Orders," The dataset was collected during 60 days, this is a real database of a brazilian logistics company."
143,144. Daphnet Freezing of Gait, This dataset contains the annotated readings of 3 acceleration sensors at the hip and leg of Parkinson's disease patients that experience freezing of gait (FoG) during walking tasks.
144,145. Data for Software Engineering Teamwork Assessment in Education Setting," Data include over 100 Team Activity Measures and outcomes (ML classes) obtained from activities of 74 student teams during the creation of final class project in SW Eng. classes at SFSU, Fulda, FAU"
145,146. Dataset for ADL Recognition with Wrist-worn Accelerometer, Recordings of 16 volunteers performing 14 Activities of Daily Living (ADL) while carrying a single wrist-worn tri-axial accelerometer.
146,147. Dataset for Sensorless Drive Diagnosis, Features are extracted from motor current. The motor has intact and defective components. This results in 11 different classes with different conditions.
147,148. DBWorld e-mails, It contains 64 e-mails which I have manually collected from DBWorld mailing list. They are classified in
148,149. Deepfakes, Medical Image Tamper Detection
149,150. default of credit card clients, This research aimed at the case of customers’ default payments in Taiwan and compares the predictive accuracy of probability of default among six data mining methods.
150,151. DeliciousMIL, A Data Set for Multi-Label Multi-Instance Learning with Instance Labels
151,152. Demand Forecasting for a store, Contains data for a store from week 1 to week 146.
152,153. Demospongiae, Marine sponges of the Demospongiae class classification domain.
153,154. Dermatology, Aim for this dataset is to determine the type of Eryhemato-Squamous Disease.
154,155. Detect Malacious Executable(AntiVirus), I extract features from malacious and non-malacious and create and training dataset to teach svm classifier.Dataset made of unknown executable to detect if it is virus or normal safe executable.
155,156. Detect Malware Types, Provide a short description of your data set (less than 200 characters).
156,157. detection_of_IoT_botnet_attacks_N_BaIoT," This dataset addresses the lack of public botnet datasets, especially for the IoT. It suggests *real* traffic data, gathered from 9 commercial IoT devices authentically infected by Mirai and BASHLITE."
157,158. Devanagari Handwritten Character Dataset, This is an image database of Handwritten Devanagari characters. There are 46 classes of characters with 2000 examples each. The dataset is split into training set(85%) and testing set(15%).
158,159. Dexter, DEXTER is a text classification problem in a bag-of-word representation. This is a two-class classification problem with sparse continuous input variables. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.
159,160. DGP2 - The Second Data Generation Program," Generates application domains based on specific parameters, number of features, and proportion of positive to negative examples"
160,161. Diabetes, This diabetes dataset is from AIM '94
161,162. Diabetes 130-US hospitals for years 1999-2008, This data has been prepared to analyze factors related to readmission as well as other outcomes pertaining to patients with diabetes.
162,163. Diabetic Retinopathy Debrecen Data Set, This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not.
163,164. Discrete Tone Image Dataset," Discrete Tone Images(DTI)are available which needs to be analyzed in detail. Here, we created this dataset for those who do research in DTI."
164,165. Dishonest Internet users Dataset, The dataset was used to test an architecture based on a trust model capable to cope with the evaluation of the trustworthiness of users interacting in pervasive environments.
165,166. Divorce Predictors data set, Participants completed the “Personal Information Form” and “Divorce Predictors Scale”.
166,167. Divorce Predictors data set, Participants completed the Personal Information Form and Divorce Predictors Scale.
167,168. Document Understanding," Five concepts, expressed as predicates, to be learned"
168,169. Dodgers Loop Sensor, Loop sensor data was collected for the Glendale on ramp for the 101 North freeway in Los Angeles
169,170. Dorothea, DOROTHEA is a drug discovery dataset. Chemical compounds represented by structural molecular features must be classified as active (binding to thrombin) or inactive. This is one of 5 datasets of the NIPS 2003 feature selection challenge.
170,171. Dota2 Games Results, Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses.
171,172. Dow Jones Index, This dataset contains weekly data for the Dow Jones Industrial Index. It has been used in computational investing research.
172,173. Dresses_Attribute_Sales, This dataset contain Attributes of dresses and their recommendations according to their sales.Sales are monitor on the basis of alternate days.
173,174. DrivFace," The DrivFace contains images sequences of subjects while driving in real scenarios. It is composed of 606 samples of 640×480, acquired over different days from 4 drivers with several facial features."
174,175. Drug consumption (quantified), Classify type of drug consumer by personality data
175,176. Drug Review Dataset (Druglib.com)," The dataset provides patient reviews on specific drugs along with related conditions. Reviews and ratings are grouped into reports on the three aspects benefits, side effects and overall comment."
176,177. Drug Review Dataset (Drugs.com), The dataset provides patient reviews on specific drugs along with related conditions and a 10 star patient rating reflecting overall patient satisfaction.
177,178. Dry Bean Dataset," Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
178,179. DSRC Vehicle Communications, This set Provides data regarding wireless communications between vehicles and road side units. two separate data sets are provided (normal scenario) and in the presence of attacker (jammer).
179,180. Dynamic Features of VirusShare Executables," This dataset contains the dynamic features of 107,888 executables, collected by VirusShare from Nov/2010 to Jul/2014."
180,181. E. Coli Genes," Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided."
181,182. Early biomarkers of Parkinson’s disease based on natural connected speech Data Set , .
182,183. Early biomarkers of Parkinson�s disease based on natural connected speech, Predict a pattern of neurodegeneration in the dataset of speech features obtained from patients with early untreated Parkinson’s disease and patients at high risk developing Parkinson’s disease.
183,184. Early stage diabetes risk prediction dataset., This dataset contains the sign and symptpom data of newly diabetic or would be diabetic patient.
184,185. EBL Domain Theories, Assorted small-scale domain theories
185,186. Echocardiogram, Data for classifying if patients will survive for at least one year after a heart attack
186,187. Eco-hotel," This dataset includes Online Textual Reviews from both online (e.g., TripAdvisor) and offline (e.g., Guests' book) sources from the Areias do Seixo Eco-Resort."
187,188. Ecoli, This data contains protein localization sites
188,189. Economic Sanctions, Domain Theory on Economic Sanctions; Undocumented
189,190. Educational Process Mining (EPM), A Learning Analytics Data Set
190,191. EEG Database, This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on the scalp sampled at 256 Hz
191,192. EEG Eye State, The data set consists of 14 EEG values and a value indicating the eye state.
192,193. EEG Steady-State Visual Evoked Potential Signals, This database consists on 30 subjects performing Brain Computer Interface for Steady State Visual Evoked Potentials (BCI-SSVEP).
193,194. El Nino, The data set contains oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific.
194,195. Electrical Grid Stability Simulated Data , The local stability analysis of the 4-node star system (electricity producer is in the center) implementing Decentral Smart Grid Control concept.
195,196. ElectricityLoadDiagrams20112014, This data set contains electricity consumption of 370 points/clients.
196,197. EMG data for gestures, These are files of raw EMG data recorded by MYO Thalmic bracelet
197,198. EMG dataset in Lower Limb, 3 different exercises
198,199. EMG Physical Action Data Set, The Physical Action Data Set includes 10 normal and 10 aggressive physical actions that measure the human activity. The data have been collected by 4 subjects using the Delsys EMG wireless apparatus.
199,200. Energy efficiency," This study looked into assessing the heating load and cooling load requirements of buildings (that is, energy efficiency) as a function of building parameters."
200,201. Entree Chicago Recommendation Data, This data contains a record of user interactions with the Entree Chicago restaurant recommendation system.
201,202. Epileptic Seizure Recognition, This dataset is a pre-processed and re-structured/reshaped version of a very commonly used dataset featuring epileptic seizure detection.
202,203. Estimation of obesity levels based on eating habits and physical condition ," This dataset include data for the estimation of obesity levels in individuals from the countries of Mexico, Peru and Colombia, based on their eating habits and physical condition."
203,204. Exasens, This repository introduces a novel dataset for the classification of 4 groups of respiratory diseases
204,205. Exasens, This repository introduces a novel dataset for the classification of 4 groups of respiratory diseases
205,206. extention of Z-Alizadeh sani dataset, It was collected for CAD diagnosis.
206,207. Facebook Comment Volume Dataset, Instances in this dataset contain features extracted from facebook posts. The task associated with the data is to predict how many comments the post will receive.
207,208. Facebook Large Page-Page Network, This webgraph is a page-page graph of verified Facebook sites. Nodes represent official Facebook pages while the links are mutual likes between sites.
208,209. Facebook Live Sellers in Thailand," Facebook pages of 10 Thai fashion and cosmetics retail sellers. Posts of a different nature (video, photos, statuses, and links). Engagement metrics consist of comments, shares, and reactions."
209,210. Facebook metrics, Facebook performance metrics of a renowned cosmetic's brand Facebook page.
210,211. Farm Ads, This data was collected from text ads found on twelve websites that deal with various farm animal related topics. The binary labels are based on whether or not the content owner approves of the ad.
211,212. Fertility," 100 volunteers provide a semen sample analyzed according to the WHO 2010 criteria. Sperm concentration are related to socio-demographic data, environmental factors, health status, and life habits"
212,213. Firm-Teacher_Clave-Direction_Classification, The data are binary attack-point vectors and their clave-direction class(es) according to the partido-alto-based paradigm.
213,214. First-order theorem proving," Given a theorem, predict which of five heuristics will give the fastest proof when used by a first-order prover. A sixth prediction declines to attempt a proof, should the theorem be too difficult."
214,215. Flags," From Collins Gem Guide to Flags, 1986"
215,216. FMA, A Dataset For Music Analysis
216,217. Folio, 20 photos of leaves for each of 32 different species.
217,218. Forest Fires," This is a difficult regression task, where the aim is to predict the burned area of forest fires, in the northeast region of Portugal, by using meteorological and other data (see details at"
218,219. Forest type mapping, Multi-temporal remote sensing data of a forested area in Japan. The goal is to map different forest types using spectral data.
219,220. Function Finding, Cases collected mostly from investigations in physical science; intention is to evaluate function-finding algorithms
220,221. Gait Classification," Gait is considered a biometric criterion. Therefore, we tried to classify people with gait analysis with this gait data set."
221,222. Gas Sensor Array Drift Dataset, This archive contains 13910 measurements from 16 chemical sensors utilized in simulations for drift compensation in a discrimination task of 6 gases at various levels of concentrations.
222,223. Gas Sensor Array Drift Dataset at Different Concentrations, This archive contains 13910 measurements from 16 chemical sensors exposed to 6 different gases at various concentration levels.
223,224. Gas sensor array exposed to turbulent gas mixtures, A chemical detection platform composed of 8 chemoresistive gas sensors was exposed to turbulent gas mixtures generated naturally in a wind tunnel. The acquired time series of the sensors are provided.
224,225. Gas sensor array temperature modulation, A chemical detection platform composed of 14 temperature-modulated metal oxide (MOX) gas sensors was exposed during 3 weeks to mixtures of carbon monoxide and humid synthetic air in a gas chamber.
225,226. Gas sensor array under dynamic gas mixtures," The data set contains the recordings of 16 chemical sensors exposed to two dynamic gas mixtures at varying concentrations. For each mixture, signals were acquired continuously during 12 hours."
226,227. Gas sensor array under flow modulation, The data set contains 58 time series acquired from 16 chemical sensors under gas flow modulation conditions. The sensors were exposed to different gaseous binary mixtures of acetone and ethanol.
227,228. Gas sensor arrays in open sampling settings, The dataset contains 18000 time-series recordings from a chemical detection platform at six different locations in a wind tunnel facility in response to ten high-priority chemical gaseous substances
228,229. Gas sensors for home activity monitoring, 100 recordings of a sensor array under different conditions in a home setting
229,230. Gas Turbine CO and NOx Emission Data Set," The dataset contains 36733 instances of 11 sensor measures aggregated over one hour, from a gas turbine located in Turkey for the purpose of studying flue gas emissions, namely CO and NOx."
230,231. Gastrointestinal Lesions in Regular Colonoscopy, This dataset contains features extracted from colonoscopy videos used to detect gastrointestinal lesions. It contains 76 lesions
231,232. Gender by Name," This dataset attributes first names to genders, giving counts and probabilities. It combines open-source government data from the US, UK, Canada, and Australia."
232,233. Gender Gap in Spanish WP, Data set used to estimate the number of women editors and their editing practices in the Spanish Wikipedia
233,234. gene expression cancer RNA-Seq," This collection of data is part of the RNA-Seq (HiSeq) PANCAN data set, it is a random extraction of gene expressions of patients having different types of tumor"
234,235. Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone, A multisource and multivariate dataset for indoor localisation methods based on WLAN and Geo-Magnetic ﬁeld ﬁngerprinting
235,236. Geographical Original of Music, Instances in this dataset contain audio features extracted from 1059 wave files. The task associated with the data is to predict the geographical origin of music.
